SA2_MAINCODE_2016	SA2_NAME_2016	PHN_CODE_2017	PHN_NAME_2017	RATIO	PERCENTAGE
507011153	Coolbellup	PHN502	Perth South	1	100
507011154	Hamilton Hill	PHN502	Perth South	1	100
507011155	Henderson	PHN502	Perth South	1	100
507011158	North Coogee	PHN502	Perth South	1	100
507011159	South Lake - Cockburn Central	PHN502	Perth South	1	100
507011160	Spearwood	PHN502	Perth South	1	100
507011161	Success - Hammond Park	PHN502	Perth South	1	100
507011163	Yangebup	PHN502	Perth South	1	100
507011259	Beeliar - Wattleup	PHN502	Perth South	1	100
507011260	Jandakot	PHN502	Perth South	1	100
507021164	East Fremantle	PHN502	Perth South	1	100
507021165	Fremantle	PHN502	Perth South	1	100
507021166	Fremantle - South	PHN502	Perth South	1	100
507021167	O'Connor (WA)	PHN502	Perth South	1	100
507031169	Bertram - Wellard (West)	PHN502	Perth South	1	100
507031170	Calista	PHN502	Perth South	1	100
507031172	Hope Valley - Postans	PHN502	Perth South	1	100
507031173	Kwinana Industrial	PHN502	Perth South	1	100
507031174	Parmelia - Orelia	PHN502	Perth South	1	100
507031261	Casuarina - Wandi	PHN502	Perth South	1	100
507041175	Applecross - Ardross	PHN502	Perth South	1	100
507041176	Bateman	PHN502	Perth South	1	100
507041177	Bicton - Palmyra	PHN502	Perth South	1	100
507041178	Booragoon	PHN502	Perth South	1	100
507041179	Bull Creek	PHN502	Perth South	1	100
507041180	Leeming	PHN502	Perth South	1	100
507041181	Melville	PHN502	Perth South	1	100
507041182	Murdoch - Kardinya	PHN502	Perth South	1	100
507041183	Willagee	PHN502	Perth South	1	100
507041184	Winthrop	PHN502	Perth South	1	100
507051185	Baldivis	PHN502	Perth South	1	100
507051186	Cooloongup	PHN502	Perth South	1	100
507051187	Port Kennedy	PHN502	Perth South	1	100
507051188	Rockingham	PHN502	Perth South	1	100
507051189	Rockingham Lakes	PHN502	Perth South	1	100
507051190	Safety Bay - Shoalwater	PHN502	Perth South	1	100
507051191	Singleton - Golden Bay - Secret Harbour	PHN502	Perth South	1	100
507051192	Waikiki	PHN502	Perth South	1	100
507051193	Warnbro	PHN502	Perth South	1	100
509011225	Albany	PHN503	Country WA	1	100
509011226	Albany Region	PHN503	Country WA	1	100
509011227	Bayonet Head - Lower King	PHN503	Country WA	1	100
509011228	Denmark	PHN503	Country WA	1	100
509011229	Gnowangerup	PHN503	Country WA	1	100
509011230	Katanning	PHN503	Country WA	1	100
509011231	Kojonup	PHN503	Country WA	1	100
509011232	Little Grove - Elleker	PHN503	Country WA	1	100
509011233	McKail - Willyung	PHN503	Country WA	1	100
509011234	Plantagenet	PHN503	Country WA	1	100
509011235	Stirling Range National Park	PHN503	Country WA	1	100
509021236	Chittering	PHN503	Country WA	1	100
509021237	Cunderdin	PHN503	Country WA	1	100
509021238	Dowerin	PHN503	Country WA	1	100
509021239	Gingin - Dandaragan	PHN503	Country WA	1	100
509021240	Merredin	PHN503	Country WA	1	100
509021241	Moora	PHN503	Country WA	1	100
509021242	Mukinbudin	PHN503	Country WA	1	100
509021243	Northam	PHN503	Country WA	1	100
509021244	Toodyay	PHN503	Country WA	1	100
509021245	York - Beverley	PHN503	Country WA	1	100
509031246	Brookton	PHN503	Country WA	1	100
509031247	Kulin	PHN503	Country WA	1	100
509031248	Murray	PHN502	Perth South	0.282499	28.2498963
509031248	Murray	PHN503	Country WA	0.717501	71.7501037
509031249	Narrogin	PHN503	Country WA	1	100
509031250	Wagin	PHN503	Country WA	1	100
510011262	Broome	PHN503	Country WA	1	100
510011263	Derby - West Kimberley	PHN503	Country WA	1	100
510011264	Halls Creek	PHN503	Country WA	1	100
510011265	Kununurra	PHN503	Country WA	1	100
510011266	Roebuck	PHN503	Country WA	1	100
510021267	East Pilbara	PHN503	Country WA	1	100
510021268	Newman	PHN503	Country WA	1	100
510021269	Port Hedland	PHN503	Country WA	1	100
510021270	South Hedland	PHN503	Country WA	1	100
510031271	Ashburton (WA)	PHN503	Country WA	1	100
510031272	Karratha	PHN503	Country WA	1	100
510031273	Roebourne	PHN503	Country WA	1	100
511011274	Esperance	PHN503	Country WA	1	100
511011275	Esperance Region	PHN503	Country WA	1	100
511021276	Carnarvon	PHN503	Country WA	1	100
511021277	Exmouth	PHN503	Country WA	1	100
511031278	Boulder	PHN503	Country WA	1	100
511031279	Kalgoorlie	PHN503	Country WA	1	100
511031280	Kalgoorlie - North	PHN503	Country WA	1	100
511031281	Kalgoorlie Airport	PHN503	Country WA	1	100
511031282	Kambalda - Coolgardie - Norseman	PHN503	Country WA	1	100
511031283	Leinster - Leonora	PHN503	Country WA	1	100
511031284	Trafalgar (WA)	PHN503	Country WA	1	100
511041285	Geraldton	PHN503	Country WA	1	100
511041286	Geraldton - East	PHN503	Country WA	1	100
511041287	Geraldton - North	PHN503	Country WA	1	100
511041288	Geraldton - South	PHN503	Country WA	1	100
511041289	Irwin	PHN503	Country WA	1	100
511041290	Meekatharra	PHN503	Country WA	1	100
511041291	Morawa	PHN503	Country WA	1	100
511041292	Northampton - Mullewa - Greenough	PHN503	Country WA	1	100
601011001	Bridgewater - Gagebrook	PHN601	Tasmania	1	100
601011002	Brighton - Pontville	PHN601	Tasmania	1	100
601011003	Old Beach - Otago	PHN601	Tasmania	1	100
601021004	Bellerive - Rosny	PHN601	Tasmania	1	100
601021005	Cambridge	PHN601	Tasmania	1	100
601021006	Geilston Bay - Risdon	PHN601	Tasmania	1	100
601021007	Howrah - Tranmere	PHN601	Tasmania	1	100
601021008	Lindisfarne - Rose Bay	PHN601	Tasmania	1	100
601021009	Mornington - Warrane	PHN601	Tasmania	1	100
601021010	Risdon Vale	PHN601	Tasmania	1	100
601021011	Rokeby	PHN601	Tasmania	1	100
601021012	South Arm	PHN601	Tasmania	1	100
601031013	Austins Ferry - Granton	PHN601	Tasmania	1	100
601031014	Berriedale - Chigwell	PHN601	Tasmania	1	100
601031015	Claremont (Tas.)	PHN601	Tasmania	1	100
601031016	Derwent Park - Lutana	PHN601	Tasmania	1	100
